word,count
vs,25
india,23
ind,17
afg,17
afghanistan,17
ti,15
st,12
live,11
score,10
cricket,8
highlights,8
web,8
shivam,7
ago,7
nd,6
dube,5
description,5
available,5
days,5
win,4
match,4
first,4
rohit,4
stars,3
updates,3
world,3
cup,3
sharma,3
wickets,3
gulbadin,2
full,2
scorecard,2
icc,2
th,2
hours,2
toss,2
opted,2
bowl,2
mohali,2
series,2
jan,2
wick,1
virat,1
kohli,1
yasha,1
nan,1
shines,1
happened,1
indore,1
two,1
changes,1
hosts,1
home,1
naib,1
nears,1
fifty,1
catch,1
skipper,1
international,1
dun,1
starred,1
defeated,1
go,1
fix,1
registered,1
sixwicket,1
thanks,1
special,1
knock,1
sharmas,1
team,1
got,1
weboct,1
beat,1
delhi,1
october,1
scored,1
runs,1
took,1
overs,1
pm,1
ist,1
gone,1
axar,1
gets,1
dubes,1
allround,1
heroics,1
boost,1
big,1
returns,1
months,1
captain,1
indian,1
host,1
threematch,1
preparations,1
get,1
way,1
united,1
states,1
caribbean,1
